序号,科目,资料层级,资料类型,规范文件名,目标路径,原文件名,来源路径,SHA256,大小MB
11,Web编程基础,成品复习包,成品复习包,Web编程基础_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/00_成品复习包/Web编程基础_期末复习包.zip,Web编程基础.zip,/Users/jerry/Desktop/期末复习/Web编程基础.zip,未计算（大小唯一）,0.53
12,Web编程基础,成品复习包,成品复习包,Web编程基础_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/00_成品复习包/Web编程基础_模拟卷一_含答案解析.pdf,Web编程基础_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/Web编程基础/Web编程基础_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.22
13,Web编程基础,成品复习包,成品复习包,Web编程基础_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/00_成品复习包/Web编程基础_模拟卷二_含答案解析.pdf,Web编程基础_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/Web编程基础/Web编程基础_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.18
14,Web编程基础,成品复习包,成品复习包,Web编程基础_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/00_成品复习包/Web编程基础_考前复习知识点讲义.pdf,Web编程基础_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/Web编程基础/Web编程基础_考前复习知识点讲义.pdf,未计算（大小唯一）,0.24
15,大学物理,原始资料,压缩包,大学物理.zip,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/99_压缩包/大学物理.zip,大学物理.zip,/Users/jerry/Downloads/复习/大学物理.zip,未计算（大小唯一）,56.53
16,大学物理,原始资料,压缩包,大学物理_压缩包_2023大学物理课件.zip,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/99_压缩包/大学物理_压缩包_2023大学物理课件.zip,8849925093892b3b06d1459d70dbb904_5602940803200887773_m.zip,/Users/jerry/Downloads/大一下期末/8849925093892b3b06d1459d70dbb904_5602940803200887773_m.zip,未计算（大小唯一）,49.96
17,大学物理,原始资料,模拟卷,大学物理模拟题.md,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/05_模拟卷/大学物理模拟题.md,大物理模拟题.md,/Users/jerry/Downloads/大一下期末/大物理模拟题.md,未计算（大小唯一）,0.02
18,大学物理,原始资料,模拟卷,大物模拟题2.md,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/05_模拟卷/大物模拟题2.md,大物模拟题2.md,/Users/jerry/Downloads/大一下期末/大物模拟题2.md,未计算（大小唯一）,0.02
19,大学物理,原始资料,源文件,大学物理_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/90_源文件/大学物理_考前复习知识点讲义.tex,大学物理_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/大学物理/源文件/大学物理_考前复习知识点讲义.tex,未计算（大小唯一）,0.04
20,大学物理,原始资料,真题,大学物理-23真题.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/01_样卷与真题/大学物理-23真题.pdf,大雾-23真题.pdf,/Users/jerry/Desktop/期末复习/大学物理/源文件/大雾-23真题.pdf,52b13d11e6d1b7f8ab0c7977a9d0761244b95589320eb7eb7801eceecfa8e7dc,0.24
21,大学物理,原始资料,笔记总结,大学物理_笔记总结_大学物理A知识整理(3)电磁学.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/05_笔记与总结/大学物理_笔记总结_大学物理A知识整理(3)电磁学.pdf,大学物理A知识整理（3）电磁学.pdf,/Users/jerry/Downloads/大一下期末/大学物理A知识整理（3）电磁学.pdf,876b90992c8e08185d8067f28ccd2601bfeb3c10dc07d620c39bbe3a97ee17cc,2.67
22,大学物理,原始资料,课件,大学物理_课件_2023位移电流.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023位移电流.pdf,2023 位移电流.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 位移电流.pdf,未计算（大小唯一）,1.64
23,大学物理,原始资料,课件,大学物理_课件_2023大学物理-库仑定律.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理-库仑定律.pdf,2023大学物理-库仑定律.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023大学物理-库仑定律.pdf,未计算（大小唯一）,5.59
24,大学物理,原始资料,课件,大学物理_课件_2023大学物理安培定律.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理安培定律.pdf,2023 大学物理安培定律.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 大学物理安培定律.pdf,未计算（大小唯一）,1.81
25,大学物理,原始资料,课件,大学物理_课件_2023大学物理恒定电流磁感应强度.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理恒定电流磁感应强度.pdf,2023 大学物理恒定电流 磁感应强度.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 大学物理恒定电流 磁感应强度.pdf,未计算（大小唯一）,4.19
26,大学物理,原始资料,课件,大学物理_课件_2023大学物理毕奥萨伐尔定律.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理毕奥萨伐尔定律.pdf,2023 大学物理 毕奥萨伐尔定律.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 大学物理 毕奥萨伐尔定律.pdf,未计算（大小唯一）,2.89
27,大学物理,原始资料,课件,大学物理_课件_2023大学物理电势.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理电势.pdf,2023大学物理电势.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023大学物理电势.pdf,未计算（大小唯一）,2.95
28,大学物理,原始资料,课件,大学物理_课件_2023大学物理电场强度.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理电场强度.pdf,2023大学物理电场强度.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023大学物理电场强度.pdf,未计算（大小唯一）,3.34
29,大学物理,原始资料,课件,大学物理_课件_2023大学物理电容电介质.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理电容电介质.pdf,2023大学物理电容电介质.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023大学物理电容电介质.pdf,未计算（大小唯一）,3.42
30,大学物理,原始资料,课件,大学物理_课件_2023大学物理磁场的高斯定理和安培环路定理.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理磁场的高斯定理和安培环路定理.pdf,2023 大学物理 磁场的高斯定理和安培环路定理.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 大学物理 磁场的高斯定理和安培环路定理.pdf,未计算（大小唯一）,6.01
31,大学物理,原始资料,课件,大学物理_课件_2023大学物理绪论和7.1.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理绪论和7.1.pdf,2023大学物理绪论和7.1.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023大学物理绪论和7.1.pdf,未计算（大小唯一）,5.38
32,大学物理,原始资料,课件,大学物理_课件_2023大学物理高斯定理.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023大学物理高斯定理.pdf,2023大学物理高斯定理.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023大学物理高斯定理.pdf,未计算（大小唯一）,4.35
33,大学物理,原始资料,课件,大学物理_课件_2023电场与电势的关系.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023电场与电势的关系.pdf,2023 电场与电势的关系.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 电场与电势的关系.pdf,未计算（大小唯一）,4.52
34,大学物理,原始资料,课件,大学物理_课件_2023电磁感应.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023电磁感应.pdf,2023 电磁感应.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 电磁感应.pdf,未计算（大小唯一）,3.92
35,大学物理,原始资料,课件,大学物理_课件_2023磁场中的磁介质.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023磁场中的磁介质.pdf,2023 磁场中的磁介质.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 磁场中的磁介质.pdf,未计算（大小唯一）,2.11
36,大学物理,原始资料,课件,大学物理_课件_2023磁场对运动电荷的作用.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/02_课件/大学物理_课件_2023磁场对运动电荷的作用.pdf,2023 磁场对运动电荷的作用.pdf,/Users/jerry/Downloads/复习/2023大物课件/2023 磁场对运动电荷的作用.pdf,未计算（大小唯一）,4.76
37,大学物理,原始资料,题库练习,大学物理-24练习.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/03_题库与练习/大学物理-24练习.pdf,大雾-24练习.pdf,/Users/jerry/Desktop/期末复习/大学物理/源文件/大雾-24练习.pdf,45d887ed272f31e4454f4107ee3c1958b0109b8d0be3c236c06e75cc884cb006,0.76
38,大学物理,原始资料,题库练习,大学物理-不知道哪年的练习.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/03_题库与练习/大学物理-不知道哪年的练习.pdf,大雾-不知道哪年的练习.pdf,/Users/jerry/Downloads/大一下期末/大雾-不知道哪年的练习.pdf,a9c1a48e2672c5225950b83df6f15cf911d5a1a757ca1c9540dbc531e03d455a,2.46
39,大学物理,原始资料,题库练习,大学物理B_练习题.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/03_题库与练习/大学物理B_练习题.pdf,大学物理B_练习题.pdf,/Users/jerry/Downloads/大一下期末/大学物理B_练习题.pdf,c3f0322f86ab3adc05b4b5d9adb8ee601ff22a1c7628668867627e87b3145f6a,5.41
40,大学物理,原始资料,题库练习,大学物理题库2019.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/02_原始资料/03_题库与练习/大学物理题库2019.pdf,大学物理题库2019_202506091011_25775(1)_202605051709_57263.pdf,/Users/jerry/Downloads/大一下期末/大学物理题库2019_202506091011_25775(1)_202605051709_57263.pdf,f4b20f27fdd42f10977aaff91ee4153659d6a5ef6010ba4cec3b388078176402,2.22
41,大学物理,成品复习包,成品复习包,大学物理_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/00_成品复习包/大学物理_期末复习包.zip,大学物理.zip,/Users/jerry/Desktop/期末复习/大学物理.zip,未计算（大小唯一）,1.51
42,大学物理,成品复习包,成品复习包,大学物理_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/00_成品复习包/大学物理_模拟卷一_含答案解析.pdf,大学物理_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/大学物理/大学物理_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.17
43,大学物理,成品复习包,成品复习包,大学物理_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/00_成品复习包/大学物理_模拟卷二_含答案解析.pdf,大学物理_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/大学物理/大学物理_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.17
44,大学物理,成品复习包,成品复习包,大学物理_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/03_大学物理/00_成品复习包/大学物理_考前复习知识点讲义.pdf,大学物理_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/大学物理/大学物理_考前复习知识点讲义.pdf,未计算（大小唯一）,0.34
45,思想道德与法治,原始资料,真题,思修2025年冬最新考试习题库.pdf,/Users/jerry/Desktop/期末复习/资料库/12_思想道德与法治/02_原始资料/01_样卷与真题/思修2025年冬最新考试习题库.pdf,思修2025年冬最新考试习题库.pdf,/Users/jerry/Downloads/复习/23年真题/思修2025年冬最新考试习题库.pdf,未计算（大小唯一）,1.51
46,思想道德与法治,原始资料,真题,思修2025年冬最新考试重点.pdf,/Users/jerry/Desktop/期末复习/资料库/12_思想道德与法治/02_原始资料/01_样卷与真题/思修2025年冬最新考试重点.pdf,思修2025年冬最新考试重点.pdf,/Users/jerry/Downloads/复习/23年真题/思修2025年冬最新考试重点.pdf,未计算（大小唯一）,2.15
47,数据库系统,原始资料,图片资料,数据库系统_图片资料_0B0B315A6E33C0F2DDB3D06E5D3D04DE.png,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/98_图片资料/数据库系统_图片资料_0B0B315A6E33C0F2DDB3D06E5D3D04DE.png,0B0B315A6E33C0F2DDB3D06E5D3D04DE.PNG,/Users/jerry/Desktop/期末复习/数据库/源文件/0B0B315A6E33C0F2DDB3D06E5D3D04DE.PNG,未计算（大小唯一）,0.20
48,数据库系统,原始资料,图片资料,数据库系统_图片资料_0C5DC452BE5573590AF70153017EC686.png,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/98_图片资料/数据库系统_图片资料_0C5DC452BE5573590AF70153017EC686.png,0C5DC452BE5573590AF70153017EC686.PNG,/Users/jerry/Desktop/期末复习/数据库/源文件/0C5DC452BE5573590AF70153017EC686.PNG,未计算（大小唯一）,0.26
49,数据库系统,原始资料,图片资料,数据库系统_图片资料_23CF144BA734F9CD816756D667D8CFBA.png,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/98_图片资料/数据库系统_图片资料_23CF144BA734F9CD816756D667D8CFBA.png,23CF144BA734F9CD816756D667D8CFBA.PNG,/Users/jerry/Desktop/期末复习/数据库/源文件/23CF144BA734F9CD816756D667D8CFBA.PNG,未计算（大小唯一）,0.05
50,数据库系统,原始资料,图片资料,数据库系统_图片资料_574B446F92DD1E6FAE2370C25A8EF33E.png,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/98_图片资料/数据库系统_图片资料_574B446F92DD1E6FAE2370C25A8EF33E.png,574B446F92DD1E6FAE2370C25A8EF33E.PNG,/Users/jerry/Desktop/期末复习/数据库/源文件/574B446F92DD1E6FAE2370C25A8EF33E.PNG,未计算（大小唯一）,0.20
51,数据库系统,原始资料,图片资料,数据库系统_图片资料_7B288E1FE649516771C7F88F27F9AEFC.png,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/98_图片资料/数据库系统_图片资料_7B288E1FE649516771C7F88F27F9AEFC.png,7B288E1FE649516771C7F88F27F9AEFC.PNG,/Users/jerry/Desktop/期末复习/数据库/源文件/7B288E1FE649516771C7F88F27F9AEFC.PNG,未计算（大小唯一）,0.22
52,数据库系统,原始资料,图片资料,数据库系统_图片资料_9764BDBE4C8E90C8579889D3016C4EB6.png,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/98_图片资料/数据库系统_图片资料_9764BDBE4C8E90C8579889D3016C4EB6.png,9764BDBE4C8E90C8579889D3016C4EB6.PNG,/Users/jerry/Desktop/期末复习/数据库/源文件/9764BDBE4C8E90C8579889D3016C4EB6.PNG,未计算（大小唯一）,0.16
53,数据库系统,原始资料,图片资料,数据库系统_图片资料_E93B72BE9C8833F720AEC7B827AAF99B.png,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/98_图片资料/数据库系统_图片资料_E93B72BE9C8833F720AEC7B827AAF99B.png,E93B72BE9C8833F720AEC7B827AAF99B.PNG,/Users/jerry/Desktop/期末复习/数据库/源文件/E93B72BE9C8833F720AEC7B827AAF99B.PNG,未计算（大小唯一）,0.19
54,数据库系统,原始资料,图片资料,数据库系统_图片资料_F852D81D9AA413A817C02DBE30DA07DA.png,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/98_图片资料/数据库系统_图片资料_F852D81D9AA413A817C02DBE30DA07DA.png,F852D81D9AA413A817C02DBE30DA07DA.PNG,/Users/jerry/Desktop/期末复习/数据库/源文件/F852D81D9AA413A817C02DBE30DA07DA.PNG,未计算（大小唯一）,0.19
55,数据库系统,原始资料,课件,数据库系统_课件_00-课前的话.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_00-课前的话.pptx,00-课前的话.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/00-课前的话.pptx,未计算（大小唯一）,0.34
56,数据库系统,原始资料,课件,数据库系统_课件_01-绪论.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_01-绪论.pptx,01-绪论.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/01-绪论.pptx,未计算（大小唯一）,0.73
57,数据库系统,原始资料,课件,数据库系统_课件_02-关系数据库.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_02-关系数据库.pptx,02-关系数据库.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/02-关系数据库.pptx,未计算（大小唯一）,0.74
58,数据库系统,原始资料,课件,数据库系统_课件_03-2数据查询1.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_03-2数据查询1.pptx,03-2数据查询1.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/03-2数据查询1.pptx,未计算（大小唯一）,0.72
59,数据库系统,原始资料,课件,数据库系统_课件_03-2数据查询2.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_03-2数据查询2.pptx,03-2数据查询2.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/03-2数据查询2.pptx,未计算（大小唯一）,0.54
60,数据库系统,原始资料,课件,数据库系统_课件_03-3数据更新和视图.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_03-3数据更新和视图.pptx,03-3数据更新和视图.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/03-3数据更新和视图.pptx,未计算（大小唯一）,0.65
61,数据库系统,原始资料,课件,数据库系统_课件_03-4-复习案例.ppt,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_03-4-复习案例.ppt,03-4-复习案例.ppt,/Users/jerry/Desktop/期末复习/数据库/源文件/03-4-复习案例.ppt,未计算（大小唯一）,1.62
62,数据库系统,原始资料,课件,数据库系统_课件_04-数据库安全性.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_04-数据库安全性.pptx,04-数据库安全性.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/04-数据库安全性.pptx,未计算（大小唯一）,0.70
63,数据库系统,原始资料,课件,数据库系统_课件_06-关系数据理论.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_06-关系数据理论.pptx,06-关系数据理论.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/06-关系数据理论.pptx,未计算（大小唯一）,0.79
64,数据库系统,原始资料,课件,数据库系统_课件_07-1数据库设计-最新.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_07-1数据库设计-最新.pptx,07-1数据库设计-最新.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/07-1数据库设计-最新.pptx,未计算（大小唯一）,2.05
65,数据库系统,原始资料,课件,数据库系统_课件_07-1数据库设计.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_07-1数据库设计.pptx,07-1数据库设计.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/07-1数据库设计.pptx,未计算（大小唯一）,2.07
66,数据库系统,原始资料,课件,数据库系统_课件_11-数据库恢复技术.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_11-数据库恢复技术.pptx,11-数据库恢复技术.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/11-数据库恢复技术.pptx,未计算（大小唯一）,0.71
67,数据库系统,原始资料,课件,数据库系统_课件_12-并发控制.pptx,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/02_原始资料/02_课件/数据库系统_课件_12-并发控制.pptx,12-并发控制.pptx,/Users/jerry/Desktop/期末复习/数据库/源文件/12-并发控制.pptx,未计算（大小唯一）,0.50
68,数据库系统,成品复习包,成品复习包,数据库系统_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/00_成品复习包/数据库系统_期末复习包.zip,数据库系统_期末复习包.zip,/Users/jerry/Desktop/期末复习/数据库系统_期末复习包.zip,未计算（大小唯一）,0.57
69,数据库系统,成品复习包,成品复习包,数据库系统_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/00_成品复习包/数据库系统_模拟卷一_含答案解析.pdf,数据库系统_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/数据库/数据库系统_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.17
70,数据库系统,成品复习包,成品复习包,数据库系统_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/00_成品复习包/数据库系统_模拟卷二_含答案解析.pdf,数据库系统_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/数据库/数据库系统_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.16
71,数据库系统,成品复习包,成品复习包,数据库系统_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/06_数据库系统/00_成品复习包/数据库系统_考前复习知识点讲义.pdf,数据库系统_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/数据库/数据库系统_考前复习知识点讲义.pdf,未计算（大小唯一）,0.25
72,电工电子技术基础,原始资料,压缩包,电工电子技术基础_压缩包_源文件.zip,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/99_压缩包/电工电子技术基础_压缩包_源文件.zip,源文件.zip,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件.zip,未计算（大小唯一）,69.84
73,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_1-电路的基本定律与分析方法.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_1-电路的基本定律与分析方法.pdf,1- 电路的基本定律与分析方法.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/1- 电路的基本定律与分析方法.pdf,未计算（大小唯一）,19.20
74,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_10-触发器与时序逻辑电路.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_10-触发器与时序逻辑电路.pdf,10-触发器与时序逻辑电路.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/10-触发器与时序逻辑电路.pdf,未计算（大小唯一）,11.93
75,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_2-电路的暂态分析.pptx.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_2-电路的暂态分析.pptx.pdf,2- 电路的暂态分析.pptx.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/2- 电路的暂态分析.pptx.pdf,未计算（大小唯一）,6.83
76,电工电子技术基础,原始资料,课件,电工电子技术基础_课件_3-交流电路.pptx.pdf,/Users/jerry/Desktop/期末复习/资料库/10_电工电子技术基础/02_原始资料/02_课件/电工电子技术基础_课件_3-交流电路.pptx.pdf,3- 交流电路.pptx.pdf,/Users/jerry/Desktop/期末复习/电工电子技术基础/源文件/3- 交流电路.pptx.pdf,未计算（大小唯一）,2.92
